cell_line,phase,time_point,old_centroids,new_centroids
spen_mutant,Maintenance,10,26,10
spen_mutant,Maintenance,10,9,1
spen_mutant,Maintenance,10,2,1
spen_mutant,Maintenance,10,4,1
spen_mutant,Maintenance,10,20,0
spen_mutant,Maintenance,10,3,0
spen_mutant,Maintenance,10,7,2
spen_mutant,Maintenance,10,8,0
spen_mutant,Maintenance,10,6,1
spen_mutant,Maintenance,10,12,1
spen_mutant,Maintenance,10,11,4
spen_mutant,Maintenance,10,1,1
spen_mutant,Maintenance,10,8,1
spen_mutant,Maintenance,10,5,1
spen_mutant,Maintenance,10,9,1
spen_mutant,Maintenance,10,15,0
spen_mutant,Maintenance,10,7,1
spen_mutant,Maintenance,10,14,3
spen_mutant,Maintenance,10,3,1
spen_mutant,Maintenance,10,8,3
spen_mutant,Maintenance,20,4,2
spen_mutant,Maintenance,20,13,5
spen_mutant,Maintenance,20,1,1
spen_mutant,Maintenance,20,12,2
spen_mutant,Maintenance,20,5,3
spen_mutant,Maintenance,20,7,1
spen_mutant,Maintenance,20,2,1
spen_mutant,Maintenance,20,6,2
spen_mutant,Maintenance,20,6,4
spen_mutant,Maintenance,20,18,4
spen_mutant,Maintenance,20,42,16
spen_mutant,Maintenance,20,3,1
spen_mutant,Maintenance,20,5,2
spen_mutant,Maintenance,20,5,1
spen_mutant,Maintenance,20,1,1
spen_mutant,Maintenance,20,4,1
spen_mutant,Maintenance,20,28,12
spen_mutant,Maintenance,20,22,9
spen_mutant,Maintenance,20,53,12
spen_mutant,Maintenance,20,3,2
spen_mutant,Maintenance,30,12,5
spen_mutant,Maintenance,30,15,4
spen_mutant,Maintenance,30,4,3
spen_mutant,Maintenance,30,64,25
spen_mutant,Maintenance,30,15,6
spen_mutant,Maintenance,30,33,6
spen_mutant,Maintenance,30,8,2
spen_mutant,Maintenance,30,28,5
spen_mutant,Maintenance,30,11,3
spen_mutant,Maintenance,30,6,1
spen_mutant,Maintenance,30,18,7
spen_mutant,Maintenance,30,13,4
spen_mutant,Maintenance,30,2,2
spen_mutant,Maintenance,30,23,10
spen_mutant,Maintenance,30,26,18
spen_mutant,Maintenance,30,29,10
spen_mutant,Maintenance,30,17,3
spen_mutant,Maintenance,30,7,6
spen_mutant,Maintenance,30,9,6
spen_mutant,Maintenance,30,3,3
spen_mutant,Maintenance,40,7,6
spen_mutant,Maintenance,40,3,4
spen_mutant,Maintenance,40,3,3
spen_mutant,Maintenance,40,5,7
spen_mutant,Maintenance,40,2,5
spen_mutant,Maintenance,40,4,4
spen_mutant,Maintenance,40,18,16
spen_mutant,Maintenance,40,11,15
spen_mutant,Maintenance,40,23,27
spen_mutant,Maintenance,40,4,5
spen_mutant,Maintenance,40,6,11
spen_mutant,Maintenance,40,10,12
spen_mutant,Maintenance,40,1,2
spen_mutant,Maintenance,40,2,3
spen_mutant,Maintenance,40,7,12
spen_mutant,Maintenance,40,7,7
spen_mutant,Maintenance,40,11,13
spen_mutant,Maintenance,40,2,4
spen_mutant,Maintenance,40,0,2
spen_mutant,Maintenance,40,2,3
spen_mutant,Maintenance,50,8,22
spen_mutant,Maintenance,50,6,17
spen_mutant,Maintenance,50,1,5
spen_mutant,Maintenance,50,5,22
spen_mutant,Maintenance,50,0,2
